,Username,Review,User Rating,Color
0,LightCC,"Note: This is specific to the Q35 headset with the most advanced sound and mic processing available in this headset line (in case it is mixed in with other Anker Soundcore headsets).SUMMARYOverall, this is a good - even great - bluetooth headset. But for meetings, missing a few critical items such as good low battery reporting, and especially a mic mute button on the headset really mar an otherwise great product. The gimmicky auto-pause feature should be off by default until it's ready for primetime and out of alpha/beta stage, made even worse by taking hours to get the app installed to turn it off. Furthermore the standard of being able to easily connect to two devices is not met here - you have to manually reconnect the 2nd device from bluetooth settings. If this headset was $50 I could still give it 4-5 stars for the value, but as a meeting headset, at this price, I give it 3 stars as the headset and app software currently stand.I really, really want to like this headset. It is a very good bluetooth headset in general, but for meetings/calls, there are some issues. For general music/audio playback, I gave it 5 stars on sound quality, and the controls are fine for that with both playback pause and volume up/down, plus different ways to swap between noise cancellation modes. All that works great, as advertised. The rest of the review will cover primairly headset usage.PROS:- The sound in general is good, with good noise cancellation. The ""transparent"" noise cancellation mode lets you hear everything around you well.- The sound processing of voice without a boom mic works great, with good noise cancellation of background noise such as typing, eating/drinking, TV in the background, etc. significantly or completely reduced. This works better than I expected - about as good as I was hoping.- The battery life is amazing. I haven't directly measured, but it feels like the claim of 40 hours with NC on is correct. See below on reporting though.- Connection distance of the bluetooth is great from my laptop. Definitely 50% to maybe 100% more than my other BT headsets. It's roughly 50-60 yards with a clear shot (from my front room out to the end of my driveway). I can go anywhere in my house, basement or 2nd floor, which isn't true of other headsets.- The over-the-ear setup and fit is decent overall (but see cons below). Do need to be a bit careful of it falling off in some situations.CONS:- My biggest con, and this takes away AT LEAST a full star. There is no mute button on the headset for the mic. This is just goofy to me. It's a bluetooth headset with an awesome no-boom mic voice pickup and great range. It's made for good calls/meetings - while roaming from your device. But no mic mute. In most conference calls (Teams/Zoom meetings, etc.), it is common practice to mute your mic when you are not talking. The entire purpose of a bluetooth headset is so that you can roam around when needed. That means I must have a mic button to mute/unmute myself when I'm away from my PC (or phone), directly on the headset. Whether I'm letting the dog out at my home (working remotely), grabbing a drink in the middle of a 2 hour call, or just walking around getting some steps in for the day during a call, I cannot afford to walk back to my PC to unmute. And if I'm unmuted, and the dog starts barking, or whatever, I need to be able to insta-mute from the headset. There are plenty of buttons, and maybe they could make a software update and allow you to configure this. I would happily give up the pause/play button for a mic mute button - or give up the NC mode button, given you can do that with the touch pad on the right ear as well.- This may only apply to fairly large heads (7 3/4"" hat size) - while the headset is big enough for my big head, it still applies a decent amount of pressure on the ears, and the ""heat up"" effect is very noticeable after about 30 mins to an hour. I do not find it comfortable to wear these all day and take a break from them whenever possible during a long day of continuous meetings.- Finding the app and getting it installed (or getting an account setup and verified) was a significant ordeal. I have the Android app on my phone now, still no PC app (does one exist?). This is a significant stain on an otherwise stellar product. There should be a product page that clearly lays out exactly what software is available for each product, and if you are going to require an account (why must you?), and you are going to require verification, make sure the process works flawlessly.- For powering on/off you have to hold down the button for an extremely long period of time. I think it's over 5 seconds. This is very annoying. It should be 2-3 seconds, tops. This is especially important in needing a fast power-up time if someone calls and the headset is powered off, for example. I don't believe the power button has any other function built into it, so I can't imagine why this is tuned to such as long time. This could potentially be fixed in a firmware update, if Anker is listening...- The gimmicky ""pause playback when you remove the headset"" is alpha-level software at best. There are times this triggers just wearing the headset and I'm fighting with the headset hitting play to keep a video running while it's constantly being paused. Thankfully you can turn this behavior off in the app - if you can get the app setup...- Unfortunately when changing noise cancelling modes, they ""announce"" the new mode when you change, which cuts out the sound from your meeting, video, etc., to make the announcement, so you miss part of whatever you are listening to when changing the mode (for example, to hear what a colleague is trying to say to you with NC on). Maybe this can be turned off in the app?  If not, that would be a welcomed additional feature.- A hiccup on the battery life reporting - it goes from ""high"" upon powering up to ""low"" fairly soon (maybe after losing 20% or so?) and is in the ""low"" range for a very long time. Then you get a ""beep"" when battery is close to out. You get 2 or 3 beeps total, but I think it's less than 30 minutes before it shut down on me after the first beep. They really need a different setting for when you get to 15-20% of power (that should be ""low""...), because that is where you should charge back to 80%+ for best battery longevity, and 30 minutes is not long enough advance warning when you can have 1-2 hour meetings. The first beep should be with maybe 5% of battery left (2-4 hours, given 40 total hours of battery), then make them progressively closer together as you get to 2%, 1%, 0.5%, ""shutting off now"", etc. Note that they do report the approximate battery level to my phone - perhaps you can get that in the PC app, if one exists and I can figure out where to download it from.- While you can pair the headset to 2 devices (e.g. laptop and phone), the device seems to only be able to connect to one of them at a time. This means you can't really switch to an incoming phone call from a meeting, for example. Or, even if you are just listening to a video or just have the headset on the desk, but connected to your PC, you can't pickup a phone call without opening your bluetooth settings on the phone and connecting. Then, to reconnect to the laptop, you need to open the bluetooth settings there and reconnect. I'm a little fuzzy on some of the details, since I've largely stopped using it for dual-purpose, but you may have to power the headset off and on again, then connect. This is all perhaps minor, but if you are going to advertise being able to work with 2 devices, it should work better than this.-FURTHER INFORMATION AND COMMENTS:Mic pickup and noise cancellation:I love the idea of using multiple mics (2) along with the other noise cancelling mics (4) in this headset to pick up voice from the user, and drown out other background noise - all without a boom mic! I tested this extensively by recording meetings in Microsoft Teams with just myself there, and tested the different teams noise cancellation modes along with this headset, while different noises were in the background - TV, typing on a quiet, but mechanical keyboard with different levels of intensity, and with different Teams noise cancellation settings.One thing for sure, do not use this headset and leave Teams on ""auto"" noise cancellation, or the ""high"" setting. Both of the noise cancellation algorithms together will create ""too much"" noise cancellation and drowned out your voice, causing semi-regular significant distortion when there is a moderate amount of background noise. Other people would complain that my volume sounded really low or that my voice was distorted, like there was a bad connection for a bit.I tested with the Teams NC set to ""low"" and ""off"". Low works well to add additional noise cancellation without adding additional distortion of my voice in my tests, and this is now the setting I've been using for a few weeks. This will drowned out light or moderate typing, myself eating and drinking, and all but fairly loud background noise. Setting Teams to ""off"" allows more to get through. You can start to hear moderate typing, for example (though it sounds very light, almost like small clicks). Either does a good job of reducing background noise while keeping the users voice in focus, without a boom mic present.",3.0 out of 5 stars,Color: Black
1,Nhat Nguyen,"I've been shopping around for some decent LDAC enabled headphones to pair with my Fiio M6 audio device.  I previously bought the Edifier W820NB and they sounded quite decent for a lower-mid priced pair of headphones.  I had only heard of Edifier because I own a pair of their speakers, which I'm pretty happy with.  These were almost a keeper, but I decided to spend a bit more on something with more separation and crispness.I don't consider myself an audiophile by any means, but I'm all for spending a bit more for a clearer, more defined sound in my audio devices.  I have a friend who has a degree in audio engineering that always asks me why I spend more than I need to on my audio choices and I always ask him why he's so cheap with his.  I just always thought it was weird, considering his previously chosen profession.Anyway, I obviously had heard about the WF-1000XM4 and XM3 Sonys, but I wasn't sure I needed to drop that much money on headphones that I would only occasionally use.  Don't get me wrong, I love music, but generally, I'm listening to it on my turntable or in my car.  I just haven't found a pair of headphones that I'm comfortable wearing for hours at a time, these included.I read some other reviews about the comfort factor on these, and on that note, I was slightly disappointed, but not that surprised.  Maybe I have Elven ears and they just aren't made to house headphones for too long, I don't know.  Having said that, they're comfortable enough.  I didn't find myself fidgeting with the cups as much as I have others in the past.The box was well packaged and actually looked pretty fancy with a little sticker seal over some wax type looking paper to cover everything.  It comes with a USB-C charging cable, an airplane airline headphone adapter and a 3.5mm audio cable with volume control.  The 3.5mm cable seemed to be a little bit on the cheap side if I had to nitpick, but otherwise, it was fine.  I'd mostly be using it for the Bluetooth capabilities.  The case was pretty decent as well, although the plastic insert was kind of odd.  It looked like it was meant to stay in with the case, but it was so thin and cheaply made, that I have to think it was meant to be tossed.  It basically shows you how the headphone sits in the case and the reason why I think it was meant to be tossed is because under it, there's an etched drawing of how the headphones should sit in the case.  I'm getting the feeling people have tried to cram these headphones into their case in weird ways and end up complaining that they snap. :)Primarily, I listen to metal and all sub-genres of metal.  I almost bought some headphones called ""Heavys"" that were supposedly designed specifically for metal, but it was on a Kickstarter and I'm hesitant to go that route.  I'd rather wait to read reviews of it later after release and pay a little more if it's something I can't live without.  In the meantime, I wanted to try these as my brother bought me some Anker Liberty Neo earbuds a while back and I liked the quality of sound I was getting from them.  I'm not typically a fan of earbuds, though, so I use them sparingly.After charging the headphones to a full charge, I promptly booted them up, holding the power for 5 seconds to pair them with my Fiio.  It paired quickly with no issues and sounded an audible ""boop.""  I started playing a song.  I didn't have as much of an issue with the default preset sound as much as some others did, but I can also see how it wasn't everyone's cup of tea.After unsuccessfully trying to sideload the Soundcore app by copying the APK file to my Fiio (didn't seem to do anything when I tried to run it from the file manager), I decided to test out the multi-pair capabilities by pairing it with my phone to tweak the default preset.  While my test song was still playing, I double-tapped the power and successfully paired to my phone.  Unfortunately, as I was fiddling around, I bumped my hand on the headphones and it stopped the music.  I already knew that I would more than likely find the whole ""pause your music detection"" feature annoying.  I fidget and adjust the cups too much for this to be practical.  After the music stopped, I wasn't able to resume it and hear it playing for some reason.  It was paired to both my phone and the Fiio, it showed as playing, but no sound came out.I was fairly annoyed for the first few minutes of owning this thing, but I calmed myself, switched off the bluetooth on my devices, switched off the headphones and started over.  Then it worked fine.  I was able to load the ""rock"" preset and it stayed loaded after I unpaired with my phone.Even though my preferred genre of music is metal, I also listen to others, so I ran it through a battery of FLAC files ranging from Halsey/Clairo/Eilish/Adele/Juice WRLD/Led Zeppelin/Rush/As I Lay Dying/Heaven Shall Burn/Behemoth, etc.  Everything sounded excellent.  There was enough instrument separation, crispness and clarity for all of the different genres for me to consider this an acceptable pair of headphones for my every day use.  Will I eventually ""upgrade"" to the XM4's?  Maybe some day, but these were plenty suitable for my mildly discerning ears for now.Except for the weird little glitch where I didn't hear anything the first few minutes I messed with it, it's been perfect.  Honestly, it may not have been a good idea to still have a song playing while pairing another device and then accidentally activating the ""headset off detection"" feature.  About that... I read a few reviews stating that the same feature on the XM4's was a little sensitive as well.  Maybe this feature is not ready for prime-time just yet.  Not until we have a better way to adjust it?  I was thinking that if you can have the app adjust it, maybe you put on the headphones and tap something that shows it's firmly on your head.  Then, if there were a way that it would measure the distance between the cups and enable the pause when a certain measurement goes beyond that distance, MAYBE that would work. Not just when it shifts on your head, but when it detects both cups being pulled away from the ears.I'm more annoyed having my music be constantly interrupted than I am with having to press the pause button from time to time.  I mean, I'm as lazy as the next person, but c'mon.. do we really need this weird feature?",5.0 out of 5 stars,Color: Black
2,HJeffK,"I am a giant Anker fan. I have owned their cords and cables for years as they have always been high quality items at reasonable prices. A few years back, Anker branded their speakers and headphones under the Soundcore label. Soundcore follows in the footsteps of their parent company in making really high quality stuff at a great price point. These Q35's, while not as inexpensive as their prior models, are simply amazing. These are the first Soundcore headphones to offer the LDAC Sony codec which makes them capable of HiFi less compressed sound. You will be able to take advantage of listening to Spotify on the very high quality setting or, better yet, really hear Tidal Masters the way they are meant to be heard. I am not a giant over ear guy. I have a ton of ear buds. My wife has the world class Sony WH-1000XM3's which I have traveled with a great deal. I owned the Soundcore Q30s for a few days, loved them, and gave them to my oldest who was whining that he needed a pair. I currently own the Microsoft Surface 2s that I got primarily for working from home. Love them but the sound is just average for music. So, enter the new Q35's. I have had these about a week. Here is the breakdown:-Sound / App: It is amazing. One of the reviews complained about sounding muddy. I am no audiophile but I just don't hear that here. These are crisp and vibrant sounding. Yes, Soundcore does tune these to emphasize the low end a bit. They come preset to the ""Soundcore Signature"" profile. However, Souncore gives you a very robust app to work with. Just get in there and tune these to your liking. You can use one of their many presets or make your own custom sound. When you get these going with a high quality stream, at the risk of sounding overly dramatic, it is breathtaking. Listening to The National, The Eagles, and Metallica on Tidal all just sound incredible. Great lows, full mids, crisp highs, all of which are nicely separated and balanced. Beautiful to listen to. Also, when watching video there is zero discernible latency. Voices match what you are watching. Well done.-Battery life / Connectivity: Really as good as it gets. 40 hours or so with ANC on and 60 hours without. Just about best in class. Bluetooth 5.0 is here so easy pairing and rock solid range and stable connection.-Active Noise Cancellation: If there is an area to ding these, it is here. The ANC is good. Soundcore has been steadily improving in this arena for some time. It is not Sony / Bose good. However, for most, I believe this ANC will be more than fine. It should handle planes and traveling. The only things that really get through are sudden high frequency sounds. Again, overall good, but just not as spectacular as everything else Soundcore offers here.-Form Factor / Controls: The Q35's build is outstanding. They feel great in your hands. Not like $129 headphones should feel. I feel no discernible difference in quality from the Sony headphones. The controls are handled via physical buttons on the right can. The left can has power and the ANC toggle. One nice feature that Soundcore borrowed from Sony is that you can enter transparency by simply resting your hand over the right can. It's great! Something new I love is autopause. All my buds have this but I have never seen over ears use this. Simply slide a cup off of either ear and whatever you are listening to pauses. It is really helpful. My son walked up to me and began speaking. I didnt miss anything he said and didn't need to worry about pausing my content. Great addition! Soundcore also gives your a 3.5mm audio cable if you want to go wired. I haven't tried it here yet but it worked great on the Q30's.-Call Quality: The Q30's were nothing special with how they handled calls. The Q35's still aren't special but seem to be vastly improved. They have added an AI algorithm to the beam forming mics that seems to be more effective at isolating your voice especially in loud environments. I still get too much wind noise when outside but calls are solid and very capable here overall.I will update as I go here. For $129, Soundcore is offering you a tremendous value proposition. HiFi sound, good ANC, great battery, and tremendous build quality. If High Fidelity sound isn't your bag, get the Q30's. Same build, same ANC, and same great app, for about half the price. However, if you want to really hear music buy these, find some uncompressed (or less compressed) music, and enjoy. It really is something you need to hear.*Update* I have really been pounding these and didn't really say anything about comfort. They are lightweight and very comfortable for long term wear. I am a hot guy (sweaty not physically) by nature and these are warm but overly hot like so many over ears I have worn. I have had them on now for about two hours tonight. All good. I am warm in there but not too much so. Solid.***Update for later model Samsung users***So one really important note I just figured out thanks to testing the new B&W PI7's is that you really want to make sure you have HD Audio (in this case, LDAC) enabled on your device. Samsung actually deactivates it by default. If you go in to developer options, you can turn it on. Go to ""about phone"", go to ""software options"", and find your Android build number. Tap on that 7 times. Back out and go to ""developer options."" Connect your Q35's to your phone (or any LDAC capable headset) and then scroll down in developer options and you should see an HD Audio button. Slide that over to activate it and it should automatically connect to your highest possible streaming option that headphone offers. Don't worry, you will not hurt anything here. Get your Tidal account going or move your Spotify quality to ""very high"" and you will be off to the races. Game changer for me and my S21 Ultra!",5.0 out of 5 stars,Color: Blue
3,yuuxno,"Well, the sound quality is excelent, but the mic on it is so bad... also, the range of connection is sooooo SMALL, when i walk to my living room (aprox. 15 meters away from my laptop where the headphones are connected) the audio starts to cut or glitch. And i get it, but apart from stopping the audio, it creates a loud sound and it's so annoying. When the headphones are connectedd via bluetooth, turning the volume down does not work if you do it on the device, just with the buttons on the headphones (at least in my laptop). The battery can last several days, probably like 4, on my experience. It comes with a weird adapter that i'll probably not use (provided in photo) and well at least the microphone quality on the cable that comes in the box is quite decent. When you plug your headphones like for the first time, make sure to turn the volume down at least to 20 because the sound was so loud i think i got my ears damaged. The only thing i hate is the connection range, really, it's awful. I had a sony WC-CH510 before this one, and i could go really away from my phone and it would be perfect, the audio could cut but it didn't create an earrape sound. At first, it had problems with glitching for no reason, the cause is the wear detection feature in the app! So if you experience that, turn it off, on the soundcore app, if it's not.",4.0 out of 5 stars,Color: Black
4,HipGuy,"I use this headphone to connect to PC and Phone at the same time. on PC is for watching movie and meeting. Connection on Phone is for Hand free receiving call.Sound quality and ANC are working well for me. I use it in office environment. It help to suppress people talking noise. Microphone has good sensitivity. I don't need to speak loudly but need to remember to keep it mute when not talking.Built quality is OK. I found some imperfection spots on ear cushion. It is just uneven seam.The biggest issue of this headphone is at connection with 2 host devices at the same time. When it power up, it connect to only one of the host. It seems to be randomly connect to either Phone or PC. Connecting the second one is tricky. If it connected to Phone, Connect to PC will need Phone to turn off Bluetooth. After PC is connected Phone and turn on Bluetooth and phone will connect. The other case that it connect to PC first is harder to fix. It have to turn the headphone off and on.Wearing detection  does not work consistently. When it works, there are several seconds delay after take off from my ears. I think power button has only function to turn on/off. My previous headphone use power button as battery level checker when short press. Quick Transparency mode(touch on right side ear cup) is toggle on/off. In my opinion, it should be on when touch and automatically when stop touching.",4.0 out of 5 stars,Color: Black
5,Nick Karstetter,"I have been trialing these headphones for the last three weeks. They aren’t the best, but for the price, you could do much worse.The ear covers are not the most comfortable, but far from the worst. By the type of material, I don’t expect them to last forever, but they are easy to clean and wipe down after working out or sharing.The quality of the sound is great, using it in my iPhone 12 Pro Max, Nintendo Switch, and 2018 MacBook Pro. I have used both the plug in option as well as the wireless, and both work fantastic. I have not used the plug in option during a phone call, simply out of ease of using them totally wireless. Some of my friends have said they can hear me much better without them, but I think any hands free device (headphones, earpieces, etc) that distance the microphone from right next to your face seem to lessen the quality. Noise cancelling, however, is 10/10, as is transparency. I typically use them in “regular” mode.The battery life is also impressive. I have fallen asleep wearing these, woken up, tossed them aside (sometimes forgetting to turn them off) and come back later after work to find they are still alive and working fine. A quick charge every once and a while, when I remember to plug them in, and they keep going without issues. I have yet to run them all the way dead.Overall, I am very happy with my purchase. Hopefully when the ear covers wear down, I can replace them with something of a higher quality. Otherwise, great headphones and hard to beat for the price.",4.0 out of 5 stars,Color: Blue
6,Weber713,"I use these primarily for work. This means a ton of confrence calls and music while I am working on things.  I have asked multiple people how I sound now thatbi am using these for my conference calls and they say they can hear me very well.  The noise cancelation and transpancy modes are great.  The microphone also does a good job of noise filtering too.  People I am on a call with don't hear the kids in the background or me typing.Tha audio on my end is great too.  I can hear every very clearly.  Music sounds great.  They are very comfortable to wear for most of a work day too.  They hold their charge very well.Negative- the headphones are hit or miss at being connected to two devices (my phone and my laptop). This is one of the perks of these headphones that made me purchase these ones.  If you use the sound core app to manipulate the transparency/noise cancelation then it kills the audio completely for the laptop. I find myself having to turn Bluetooth off on my phone to ensure I have a streamlined expirence using them for my laptop, which is not ideal but its not a deal breaker either.Overall I would recommend, with the understanding of the dual device limitations.",4.0 out of 5 stars,Color: Black
7,DLBear,"Very happy. I'm not comparing these to the most expensive/highest rated known brand models, only what I'd consider the competition's ""mid"" level.  I wear these in an environment where they are not handled with kid gloves...  This is the 3rd set of ANC over the ear headphones I've tried over time (MPOW & Sony were the other brands).These outperformed a set of Sony WH-CH710N I received in:Sound Quality- much better as you can personalize it with the equalizer/appANC - way better, probably twice as effective as the Sony in the environment I use themBuild - seem/feel better built than the Sony model I hadComfort - softer material on the ear cushions, better seal around the ears too for meI mainly wear these in a heavy low-frequency motor noise environment (hours spent in ag equipment). Comfortable even after many hours.  The ANC is the most important function to me to drown out the low engine drone. It doesn't eliminate it 100%, but helps tremendously so that I don't feel like my head is humming after a long time spent in the cab.I don't like adding apps to my phone normally, but the app here is simple/straight fwd where you can change the equalizer settings to your liking, plus change the ANC response based on 3 environments. Even has an option to pipe ""soothing"" sounds (birds chirping, water running, etc) if you want to for relaxation.As far as using it for phone calls, callers on the other end said they could understand me fine... I'm not on the phone much though when using them.I actually like the physical buttons on the headphone to control it rather than supposed intuitive swipes/sensors/proximity gestures that some manufacturers think are cool just because they can do it.  Didn't take long to use these control buttons without any frustration of trying to find them...I'm not getting paid for this as some reviews admit... Just trying to help someone else that may want something for a similar situation.I will edit this review if my experience changes.",5.0 out of 5 stars,Color: Black
8,Ryan,"Comfort and Fit:This product is very comfortable yet will fall of your head VERY easily if you try exercising with them (or even just bending down to pick something up). I tried using these for the gym and ultimately I just would not recommend. These are perfect for watching movies and sitting/laying somewhere. You could go on walks with these with no issues but running/weight lifting (primarily deadlifting and any exercise that consists of a lot of movement) on will make this a challenge to keep on your head.  Comfort is a 10/10, never get tired of wearing these and never get any discomfort. Fit is a 6/10 for how loose the headphones feel almost always and I have a pretty large head so I'd expect it to fit more tightly on me.Noise Cancelation and Transparency Mode:Noise Cancelation on these are pretty good. They for sure block out a lot of background noise and when you're listening to music, there's rarely noises that will break through. 8/10 rating for that. The transparency mode amplifies the noises around you very well and is useful when talking to people around you. 9/10 rating.Sound Quality:AMAZING sound quality. I feel as if I'm in a theater whenever I watch movies and listen to music. You can hear every little detail thrown at you. Truly worth the money for the sound quality. The only downside is there can be a lot of adjusting to make these sound amazing. I spent SOOO much time adjusting these to make them sound just as I wanted them to sound. The soundcore app just has so many different options for EQ settings that it can be a hassle finding the right one, especially if you're nitpicky (like me haha). For those wondering, I'd recommend the acoustic, piano, flat, or your own personalized EQ setting when you get the chance to customize this set of headphones. 9/10 for sound quality.Volume Control:The controls as shown in the photos I've included look simplistic yet they can be hard to remember which is which when using them while being worn. I have had these for a few months and still can't entirely remember the controls all the time. The touch controls as well as the headphones ability to stop the music/video once you take off the headphones is annoying. Had to be turned off. It's hit or miss with it for it simply doesn't work all the time. The touch controls also had to be turned off. Just found the button for NC was easier to click to change modes.Overall, I'd say these are a great set of headphones yet there are some flaws. The battery life is amazinggg and the quick charge feature is great. If you want a pair of headphones for relaxing and not exercising, these are for you!",4.0 out of 5 stars,Color: Black
9,smfabac,"I bought  the Q35 after reading the reviews on Amazon.  My JBL E65BNCT head phone left ear hinge-pin keeper broke and JBL does not sell the hing-pin keeper (looks to be a 10 cent molded plastic snap in detail - shame on JBL).  I find the  Q35 ANC to be inferior to the JBL E65BTNC.  The only way I could test this is to back away from a kitchen sink with the water faucet running at full flow.  The E65BNCT ambient level (ANC on, no sound app playing) became silent at 9 feet back from the sink.  The Q35 became silent at 13 feet back from the sink. None of the ANC profiles (Transport, indoor, or outdoor) changed the 13 foot subjective distance from the running faucet.I like the ear-piece hing on the Q35. It appears to be more substantial then the hing on the E65BTNC.  The Q35 comes with a substantial storage/travel case that should protect the Q35 when taken on vacation.  The E65BTNC had a soft draw-string bag that offered no protection and requires you to carefully fold the ear-pieces to slip the unit into the bag.The Q35 head-band is not tight: I doubt that you could wear the Q35 while working out on a tread-mill or out jogging (two activities I avoid and have not tested).When wearing the Q35 in bed, I position the head band over my forehead.  That works well but if the head band is not touching my forehead and I get up from bed, the Q35 can slip and is in danger of falling off.I have turned off the sense function that pauses audio if the Q35 is removed from your head.  I found video and audio sources being paused annoyingly without removing the Q35 from my head requiring me to press play on the iPad to resume.When I first turn on the Q35 and start a YouTube video on my iPad mini6, the sound blares in my ears until I touch either of the volume buttons on the iPad.",4.0 out of 5 stars,Color: Black
